team,season,position_group,total_cap_allocated
CLE,2024,TE,16.113089
CLE,2024,WR,27.435913999999997
CLV,2013,CB_S,12.110078
CLV,2013,DL,17.394188
CLV,2013,LB,12.794951
CLV,2013,OL,20.050781999999998
CLV,2013,QB,5.918899
CLV,2013,RB,6.164448999999999
CLV,2013,TE,2.28435
CLV,2013,WR,6.305992
CLV,2014,CB_S,27.807176
CLV,2014,DL,18.039188
CLV,2014,LB,11.989951
CLV,2014,OL,26.623134999999998
CLV,2014,QB,4.0851489999999995
CLV,2014,RB,2.289247
CLV,2014,TE,2.404144
CLV,2014,WR,7.8896619999999995
CLV,2015,CB_S,38.174079
CLV,2015,DL,17.457888999999998
CLV,2015,LB,14.293451
CLV,2015,OL,26.520402
CLV,2015,QB,9.400581
CLV,2015,RB,2.911273
CLV,2015,ST,3.4
CLV,2015,TE,4.1
CLV,2015,WR,15.004249999999999
DAL,2013,CB_S,23.141154999999998
DAL,2013,DL,28.3692
DAL,2013,LB,9.979705
DAL,2013,OL,13.497527
DAL,2013,QB,21.5
DAL,2013,RB,1.3305799999999999
DAL,2013,TE,9.003837
DAL,2013,WR,6.8317429999999995
DAL,2014,CB_S,20.490309999999997
DAL,2014,DL,10.49806
DAL,2014,LB,5.267170999999999
DAL,2014,OL,22.232457
DAL,2014,QB,18.615
DAL,2014,RB,1.3305799999999999
DAL,2014,ST,3.214286
DAL,2014,TE,9.003837
DAL,2014,WR,4.717351
DAL,2015,CB_S,20.465795
DAL,2015,DL,27.56161
DAL,2015,LB,14.321187
